0	9606.ensp00000220592
1	9606.ensp00000222390
2	9606.ensp00000226796
3	9606.ensp00000240055
4	9606.ensp00000240185
5	9606.ensp00000254108
6	9606.ensp00000258729
7	9606.ensp00000258962
8	9606.ensp00000262419
9	9606.ensp00000267884
10	9606.ensp00000269305
11	9606.ensp00000284981
12	9606.ensp00000290341
13	9606.ensp00000298910
14	9606.ensp00000300659
15	9606.ensp00000302150
16	9606.ensp00000304353
17	9606.ensp00000305230
18	9606.ensp00000308546
19	9606.ensp00000309572
20	9606.ensp00000309749
21	9606.ensp00000312066
22	9606.ensp00000317691
23	9606.ensp00000318966
24	9606.ensp00000326031
25	9606.ensp00000328773
26	9606.ensp00000329357
27	9606.ensp00000336783
28	9606.ensp00000338173
29	9606.ensp00000341826
30	9606.ensp00000342181
31	9606.ensp00000343619
32	9606.ensp00000345571
33	9606.ensp00000345702
34	9606.ensp00000346088
35	9606.ensp00000348234
36	9606.ensp00000349428
37	9606.ensp00000351446
38	9606.ensp00000355094
39	9606.ensp00000356840
40	9606.ensp00000358563
41	9606.ensp00000360922
42	9606.ensp00000361021
43	9606.ensp00000362287
44	9606.ensp00000362300
45	9606.ensp00000362306
46	9606.ensp00000362361
47	9606.ensp00000371634
48	9606.ensp00000378769
49	9606.ensp00000379097
50	9606.ensp00000379144
51	9606.ensp00000384092
52	9606.ensp00000385269
53	9606.ensp00000385787
54	9606.ensp00000386636
55	9606.ensp00000391826
56	9606.ensp00000396620
57	9606.ensp00000399797
58	9606.ensp00000400142
59	9606.ensp00000401371
60	9606.ensp00000401946
61	9606.ensp00000409799
62	9606.ensp00000413035
63	9606.ensp00000417601
64	9606.ensp00000422626
65	9606.ensp00000424870
66	9606.ensp00000448323
67	9606.ensp00000451291
68	9606.ensp00000451818
69	9606.ensp00000465213
70	9606.ensp00000474096
71	9606.ensp00000478982
72	9606.ensp00000479618
73	9606.ensp00000480421
